"","Price","Age","KM","FuelType","HP","MetColor","Automatic","CC","Doors","Weight"
"77",18450,2.25,23489,"Petrol","110",0,0,1600,"5",1115
"78",16895,2.417,22575,"Petrol","110",1,0,1600,"5",1115
"79",14900,2.5,22000,"Petrol","97",1,0,1400,"5",1110
"80",18950,2.083,20019,"Petrol","110",1,1,1600,"5",1180
"81",17250,2.417,20000,"Petrol","110",1,0,1600,"5",1115
"82",15450,2.083,17003,"Petrol","97",1,0,1400,"5",1110
"84",16650,2.083,15414,"Petrol","97",1,0,1400,"5",1110
"85",17450,2.333,8537,"Petrol","110",1,0,1600,"5",1130
"86",14900,2.5,7000,"","97",1,0,1400,"5",1100
"87",17950,1.667,66966,"Diesel","90",1,0,2000,"3",1245
"88",15950,1.583,51884,"Petrol","97",1,0,1400,"3",1100
"89",21950,1.583,50005,"Diesel","110",1,0,2000,"3",1265
"91",22250,1.667,0,"Diesel","90",1,0,2000,"3",1260
"93",15950,1.667,33329,"Petrol","97",1,0,1400,"3",1100
"94",18900,1.667,31850,"Petrol","110",0,0,1600,"3",1120
"95",19950,1.417,30351,"Diesel","90",1,0,1995,"3",1260
"96",15950,1.583,29435,"Petrol","97",1,0,1400,"3",1100
"97",15950,1.583,25948,"Petrol","97",1,0,1400,"3",1100
"99",17450,1.5,23902,"Petrol","97",1,0,1400,"3",1100
"100",18990,1.667,23175,"Petrol","110",1,0,1600,"3",1120
"101",16250,1.583,19200,"Petrol","97",1,0,1400,"3",1100
"102",18500,1.083,18000,"Petrol","71",0,0,1400,"3",1125
"103",18500,0.917,16123,"Petrol","110",1,0,1600,"3",1105
"104",19450,0.917,14635,"Petrol","110",1,1,1600,"3",1155
"106",18800,1.167,11500,"Petrol","110",1,0,1600,"3",1045
"107",17450,1.417,10000,"","97",1,0,1400,"3",1100
"108",17950,1.667,7187,"Petrol","110",1,0,1600,"3",1105
"110",31000,0.333,4000,"Diesel","116",1,0,2000,"5",1480
"111",31275,0.333,1500,"Diesel","116",1,0,2000,"5",1480
"112",24950,0.667,0,"Diesel","116",1,0,2000,"5",1320
"113",24950,0.667,13253,"Diesel","116",1,0,2000,"5",1320
"114",22950,0.583,10000,"Diesel","116",1,0,2000,"5",1270
"115",24990,0.667,6000,"Diesel","90",1,0,2000,"5",1280
"116",21950,0.667,10841,"","90",1,0,2000,"5",1270
"118",19250,1.667,63000,"Diesel","90",1,0,2000,"5",1255
"120",18950,1.083,57037,"Petrol","110",0,0,1600,"5",1115
"121",19950,1.583,51099,"","90",1,0,2000,"5",1255
"122",16350,1.167,40010,"Petrol","110",1,0,1600,"5",1115
"123",18950,1.667,39115,"Petrol","110",1,0,1600,"5",1130
"124",16950,1.417,36012,"","110",0,0,1600,"5",1130
"125",21750,1.333,0,"Petrol","110",1,0,1600,"5",1130
"126",15950,1.667,36000,"Petrol","110",1,0,1600,"5",1075
"127",16500,1.667,35000,"Petrol","97",1,0,1400,"5",1110
"128",17950,1.417,33740,"Petrol","97",1,0,1400,"5",1135
"129",15850,1.083,33477,"Petrol","110",1,0,1600,"5",1075
"130",16250,1.667,32627,"Petrol","97",1,0,1400,"5",1110
"131",15950,1.667,0,"Petrol","97",1,0,1400,"5",1110
"132",16250,1.583,29441,"Petrol","97",1,0,1400,"5",1110
"133",15950,1.083,29371,"Petrol","110",1,0,1600,"4",1105
"134",16500,1.667,29000,"Petrol","97",0,0,1400,"5",1110
"135",16500,1.583,27821,"Petrol","97",0,0,1400,"5",1110
"136",18450,1.583,27371,"Petrol","97",0,0,1400,"5",1135
"137",16250,1.083,25170,"Petrol","110",1,0,1600,"5",1105
"138",23000,0.917,25000,"Diesel","116",1,0,2000,"5",1320
"139",19900,1.667,23000,"Petrol","110",1,0,1600,"5",1130
"140",16450,1.667,22588,"Petrol","97",1,0,1400,"5",1110
"141",23950,1.583,21684,"Petrol","192",1,0,1800,"5",1185
"142",19950,1.083,21428,"Petrol","110",1,0,1600,"5",1130
"143",18500,1.333,20629,"Petrol","110",1,0,1600,"4",1090
"145",16450,1.333,20105,"Petrol","97",0,0,1400,"5",1110
"146",20500,1.667,20000,"Petrol","110",0,1,1600,"5",1165
"147",24500,1.083,19988,"Petrol","110",1,0,1600,"5",1130
"148",19450,1.583,18328,"Petrol","110",0,0,1600,"5",1130
"149",20950,1.167,17896,"Petrol","110",1,1,1600,"4",1150
"150",17200,1.667,17300,"Petrol","97",1,0,1400,"5",1110
"151",19950,1.583,17038,"Petrol","110",0,0,1600,"5",1130
"152",18450,0.833,13747,"Petrol","97",1,0,1400,"5",1110
"153",19500,1,13634,"Petrol","110",1,0,1600,"5",1115
"154",21750,1.083,13178,"Petrol","110",1,0,1600,"5",1130
"155",16868,1.25,13157,"","97",1,0,1400,"4",1085
"156",19500,1.333,13000,"","110",1,0,1600,"4",1105
"157",18900,0.917,12500,"Petrol","110",1,0,1600,"5",1115
"158",19750,1.417,11999,"Petrol","110",1,0,1600,"5",1130
"159",19750,1.333,11754,"Petrol","110",0,1,1600,"5",1180
"161",20750,1.417,10000,"Petrol","110",0,0,1598,"5",1105
"162",19600,0.75,7650,"Petrol","110",1,0,1600,"5",1115
"164",17650,0.917,6155,"Petrol","97",1,0,1400,"5",1110
"165",19950,1.167,6000,"Petrol","110",0,0,1600,"5",1130
"166",19950,1.167,5459,"Petrol","110",1,0,1600,"5",1130
"167",20950,1.167,5278,"Petrol","110",1,1,1600,"four",1150
"168",20500,1,5000,"Petrol","110",1,0,1600,"5",1130
"169",17795,0.75,1,"Petrol","98",1,0,1400,"4",1065
"170",18245,0.75,1,"Petrol","110",1,0,1600,"5",1075
"171",23750,0.667,11000,"Petrol","110",1,0,1600,"5",1130
"172",19500,0.667,10077,"Petrol","97",1,0,1400,"5",1110
"173",18950,0.667,10000,"Petrol","97",1,0,1400,"5",1110
"174",21950,0.667,9788,"Petrol","110",1,0,1600,"5",1130
"175",19950,0.667,8574,"Petrol","110",1,0,1600,"5",1130
"176",18950,0.667,7000,"Petrol","110",0,0,1600,"5",1115
"177",19950,0.583,6250,"Petrol","110",1,0,1600,"5",1115
"178",21950,0.667,5000,"Petrol","110",1,0,1600,"5",1130
"179",22500,0.5,3000,"Petrol","110",0,0,1600,"5",1130
"180",18500,0.583,2000,"Petrol","110",0,0,1600,"5",1075
"181",18700,0.583,450,"Petrol","97",1,0,1400,"5",1110
"182",21125,0.167,225,"Petrol","97",1,0,1400,"5",1110
"184",17795,0.083,1,"Petrol","98",1,0,1400,"4",1100
"185",18245,0.083,1,"Petrol","110",1,0,1600,"5",1075
"186",6950,3.583,243000,"Diesel","69",0,0,1900,"3",1110
"187",9500,3.167,180638,"Diesel","90",0,0,2000,"4",1160
"188",11950,3.333,179860,"Diesel","90",1,0,2000,"5",1205
"189",7750,3.583,178858,"CNG","110",0,0,1600,"3",1084
"190",11950,3.333,161000,"Diesel","69",1,0,1900,"3",1105
"191",4350,3.667,158320,"Diesel","69",0,0,1800,"5",1110
"192",4750,3.667,131273,"Diesel","69",1,0,1800,"5",1110
"193",11750,3.333,130062,"Diesel","69",1,0,1900,"5",1140
"194",13250,3.417,123425,"Diesel","69",1,0,1900,"5",1140
"195",11950,3.083,118217,"Petrol","110",1,0,1600,"5",1075
"196",11900,3.667,110000,"Diesel","69",1,0,1900,"5",1095
"197",14750,3.25,108847,"Diesel","90",1,0,2000,"5",1205
"198",9950,3.5,105699,"Petrol","97",1,0,1400,"3",1025
"201",11250,3.333,96518,"Petrol","97",1,0,1400,"3",1025
"202",10500,3.5,92204,"Petrol","110",1,0,1600,"5",1075
"203",10450,2.917,91456,"Diesel","69",1,0,1900,"3",1110
"204",12950,3.583,89968,"Diesel","69",1,0,1900,"5",1140
"205",11500,3.667,89757,"Petrol","110",1,0,1600,"3",1045
"206",12500,3.333,85389,"Petrol","110",1,0,1600,"5",1075
"207",10950,3.583,85017,"","97",0,0,1400,"5",1060
"208",11450,3.417,84312,"Petrol","110",0,0,1600,"5",1080
"209",11950,3.083,82743,"CNG","110",1,0,1600,"5",1121
"210",13250,3.417,81106,"Diesel","69",1,0,1900,"5",1140
"211",14750,3.333,80425,"Diesel","90",1,0,2000,"5",1205
"212",11790,2.833,78677,"Petrol","110",1,1,1600,"5",1105
"214",13500,2.75,78108,"Diesel","90",1,0,2000,"3",1170
"215",10950,2.75,77321,"Petrol","110",1,0,1600,"5",1075
"216",13500,2.75,75699,"Diesel","69",0,0,1900,"3",1105
"217",10950,3.417,75697,"Petrol","97",1,0,1400,"3",1025
"219",12950,3.167,74319,"Petrol","110",1,0,1600,"5",1075
"221",12450,3.667,74172,"Petrol","110",1,0,1600,"5",1615
"222",11950,3.333,73042,"Petrol","110",1,0,1598,"5",1075
"224",12450,2.917,71200,"Petrol","110",1,0,1600,"5",1075
"225",12950,3.167,67805,"Petrol","110",1,0,1600,"5",1075
"228",12450,3.5,64564,"Petrol","110",1,0,1600,"5",1080
"229",12750,3,63459,"Petrol","97",1,0,1400,"5",1060
"231",12950,2.75,62000,"Petrol","110",1,0,1600,"5",1075
"232",11950,3.5,61300,"Petrol","97",1,0,1400,"3",1030
"233",12900,3.417,61200,"Petrol","110",1,0,1600,"3",1045
"234",11900,3.417,61000,"Petrol","110",0,0,1600,"5",1075
"236",10950,3.667,60500,"Petrol","110",0,0,1600,"5",1075
"238",13950,3.667,59000,"Petrol","110",0,1,1600,"5",1110
"239",11950,3.333,58954,"Petrol","110",1,0,1600,"5",1080
"240",10950,3.167,58798,"Petrol","110",1,0,1600,"5",1075
"241",12450,3.167,58363,"Petrol","110",1,0,1600,"3",1055
"243",13500,2.75,57711,"Diesel","90",1,0,2000,"3",1165
"244",11690,2.75,57269,"Petrol","110",1,0,1600,"5",1075
"245",13500,3.25,56001,"Petrol","110",1,0,1600,"5",1075
"248",13500,3.583,55539,"Petrol","110",1,0,1600,"5",1085
"249",11750,3.5,55400,"Petrol","110",0,0,1600,"5",1075
"250",11750,2.75,55350,"Petrol","110",0,0,1600,"5",1075
"251",10850,3.583,54600,"Petrol","110",0,0,1600,"4",1030
"252",11750,3.583,53773,"Petrol","110",1,0,1600,"5",1075
"253",14950,3.5,53719,"Petrol","110",1,1,1600,"5",1105
"254",9940,3.25,53644,"Petrol","110",1,0,1600,"5",1075
"255",12900,3.5,53350,"Petrol","110",0,0,1600,"5",1075
"256",13500,3.167,53000,"Petrol","110",1,0,1600,"5",1075
"257",11750,3.667,52084,"Petrol","97",1,0,1400,"3",1025
"258",11950,3.667,52000,"Petrol","97",0,0,1400,"3",1025
"259",13450,2.75,51945,"Petrol","110",1,0,1600,"5",1075
"260",11950,3.417,51732,"Petrol","97",1,0,1400,"3",1025
"262",13500,3.417,50856,"Petrol","110",0,0,1600,"4",1030
"263",12750,3.333,50640,"Petrol","110",1,0,1600,"5",1075
"264",12000,3.25,50000,"Petrol","97",1,0,1400,"5",1060
"265",11950,3.167,49500,"Petrol","110",1,0,1600,"5",1075
"266",12495,3.667,49332,"Petrol","110",1,0,1600,"5",1080
"267",12450,2.833,49291,"Petrol","110",1,0,1600,"3",1040
"268",14750,3.333,48952,"Diesel","90",1,0,2000,"5",1205
"269",10950,3.25,48945,"Petrol","110",0,0,1600,"3",1040
"271",12950,3.167,48197,"Petrol","110",1,0,1600,"5",1075
"274",13500,3.583,48000,"Petrol","110",1,0,1600,"5",1075
"275",11480,3.417,47350,"Petrol","110",1,0,1600,"5",1075
"276",13450,3.25,46821,"Petrol","97",1,0,1400,"5",1060
"277",11495,3.25,46694,"Petrol","110",0,0,1600,"3",1040
"278",12750,3.583,46515,"Petrol","97",0,0,1400,"5",1025
"279",14990,3.167,46327,"Petrol","110",1,0,1600,"3",1055
"280",12950,2.917,46304,"Petrol","97",1,0,1400,"5",1060
"281",12950,3.333,45886,"Petrol","110",1,0,1600,"5",1080
"282",12850,3.25,45713,"Petrol","97",1,0,1400,"5",1085
"283",13950,3.333,45600,"Petrol","110",1,1,1600,"5",1105
"284",11950,3.417,45287,"Petrol","110",1,0,1600,"5",1075
"285",12950,3.25,45081,"Petrol","110",1,0,1600,"5",1075
"288",11895,3.667,44218,"Petrol","97",1,0,1400,"5",1060
"289",12950,3.583,43632,"Petrol","110",1,0,1600,"5",1075
"290",12500,3,43427,"Petrol","110",1,0,1600,"3",1040
"291",13875,3.25,43254,"Petrol","110",1,0,1600,"5",1075
"292",10500,2.917,43000,"Petrol","110",0,0,1600,"3",1050
"293",12295,2.75,42823,"Petrol","110",1,0,1600,"5",1075
"294",13950,3.5,42560,"Petrol","110",1,0,1600,"5",1080
"295",10950,3.167,41754,"Petrol","110",0,0,1600,"3",1040
"296",12950,3.667,41499,"CNG","110",1,0,1600,"5",1103
"297",12850,3.333,41339,"Petrol","110",1,0,1600,"5",1080
"298",13995,2.917,41000,"Petrol","110",1,0,1600,"5",1075
"299",13750,3.25,40000,"Petrol","110",1,0,1600,"3",1055
"300",12750,3.083,39757,"Petrol","110",1,0,1600,"5",1075
"302",13950,3.583,39650,"Petrol","110",0,0,1600,"3",1055
"304",13950,3.667,39516,"Petrol","97",1,0,1400,"5",1060
"305",11895,3.417,39439,"Petrol","97",0,0,1400,"5",1060
"306",9950,3.667,39000,"Petrol","97",1,0,1400,"3",1025
"307",13500,3.5,38932,"Petrol","110",1,0,1600,"3",1040
"309",12450,3.5,38665,"Petrol","110",1,0,1600,"5",1075
"310",12950,3.333,38653,"Petrol","110",1,0,1600,"5",1080
"312",11750,3.5,38078,"Petrol","97",0,0,1400,"3",1025
"313",11650,3.25,37782,"Petrol","97",1,0,1400,"5",1060
"314",9950,3.583,37576,"Petrol","97",0,0,1400,"3",1030
"315",13950,3.417,37533,"Petrol","110",1,0,1600,"5",1075
"316",12950,3.667,37389,"Petrol","110",1,0,1600,"5",1080
"317",10950,3.167,37320,"Petrol","97",1,0,1400,"3",1025
"318",9900,3.5,37000,"Petrol","97",1,0,1400,"3",1025
"319",11950,3.667,37000,"Petrol","110",0,0,1600,"4",1075
"320",11990,3.333,36566,"Petrol","110",0,0,1600,"5",1090
"321",10750,3,36269,"","110",1,0,1600,"5",1075
"322",13950,3.083,36074,"Petrol","110",1,1,1600,"5",1075
"323",11250,3.667,36066,"Petrol","110",1,0,1600,"3",1040
"324",12950,3.25,34599,"Petrol","110",1,0,1600,"five",1075
"325",11950,3.417,34000,"Petrol","110",1,0,1600,"5",1075
"326",10950,3.5,33623,"Petrol","97",1,0,1400,"3",1025
"327",12950,2.75,33591,"Petrol","110",1,0,1600,"5",1075
"329",11695,3.583,33113,"","110",1,0,1600,"5",1075
"330",11000,3.417,33000,"Petrol","110",1,1,1600,"5",1075
"332",11950,3.167,32781,"","110",0,0,1600,"5",1075
"333",11750,3.333,32532,"","110",1,0,1600,"3",1040
"334",12400,2.833,32431,"","97",1,0,1400,"5",1060
"335",12500,2.917,32000,"Petrol","110",0,0,1600,"3",1040
"336",12900,2.75,31000,"Petrol","110",1,0,1600,"5",1075
"337",12200,3.417,30989,"Petrol","110",0,0,1600,"3",1045
"338",12750,3.583,30742,"Petrol","110",1,0,1600,"3",1040
"339",11950,3.5,30190,"Petrol","110",1,0,1600,"5",1075
"340",11900,3.417,29716,"Petrol","116",1,0,1600,"5",1075
"341",11950,3.667,29716,"","110",1,1,1600,"3",1070
"343",11950,3.417,29056,"Petrol","97",1,0,1400,"5",1060
"344",12950,2.75,28715,"Petrol","110",1,0,1600,"5",1075
"345",14950,3.417,28571,"Petrol","110",0,0,1600,"5",1090
"346",13450,3.333,28362,"Petrol","110",1,0,1600,"3",1040
"348",12950,3.583,27301,"","110",1,0,1600,"3",1040
"349",12750,2.75,27240,"Petrol","110",1,0,1600,"5",1075
"350",11895,3.25,27170,"Petrol","97",1,0,1400,"5",1060
"351",9950,3.5,27141,"Petrol","97",1,0,1400,"5",1060
"352",12450,3.167,26262,"Petrol","110",1,0,1600,"5",1075
"353",12500,3.167,26000,"Petrol","97",1,0,1400,"5",1060
"354",14950,3.583,25228,"Petrol","110",1,0,1600,"3",1045
"356",12695,3.25,24723,"Petrol","110",1,1,1600,"4",1060
"358",12750,3.583,24553,"Petrol","110",1,0,1600,"5",1080
"361",11500,2.917,24011,"Petrol","97",0,0,1400,"3",1025
"362",11950,3.417,24000,"Petrol","97",1,0,1400,"3",1025
"363",13450,3.333,23616,"Petrol","110",1,0,1600,"5",1075
"364",12900,3.167,22865,"Petrol","110",1,0,1600,"5",1075
"366",10950,2.917,21904,"Petrol","97",0,0,1400,"3",1025
"367",11950,3.417,21651,"Petrol","97",0,0,1400,"3",1025
"368",11450,3.083,21500,"Petrol","110",1,0,1600,"5",1030
"369",13250,3.667,21027,"Petrol","110",1,0,1600,"5",1080
"370",10250,3.25,18500,"Petrol","110",0,0,1600,"4",1030
"371",13995,2.917,18000,"Petrol","110",1,0,1600,"5",1075
"372",11950,3.333,17051,"","97",0,0,1400,"5",1060
"373",13250,2.75,16512,"Petrol","97",1,0,1400,"5",1085
"374",12950,3.333,16325,"Petrol","110",1,0,1600,"5",1080
"375",11750,3.167,16000,"Petrol","97",1,0,1400,"5",1060
"376",11500,3.25,12000,"Petrol","110",1,0,1600,"5",1075
"377",13500,3.583,10000,"Petrol","97",1,0,1400,"5",1060
"378",6500,4.417,216000,"Diesel","69",0,0,1900,"3",1110
"379",6400,4.25,198167,"Diesel","69",0,0,1900,"4",1095
"380",7000,4.417,176000,"Diesel","69",0,0,1900,"3",1105
"381",7750,4.5,174139,"Diesel","72",1,0,2000,"4",1100
"383",8500,4.583,150000,"CNG","110",1,0,1600,"3",1075
"384",8950,4.5,149329,"Diesel","72",1,0,2000,"5",1135
"385",9900,4.25,146736,"Petrol","110",1,0,1600,"5",1080
"386",10250,4.417,143513,"Diesel","69",0,0,1900,"5",1140
"387",9250,4,142130,"CNG","110",0,0,1600,"5",1119
"388",7750,4,140700,"Diesel","69",1,0,1900,"5",1110
"391",8250,4.333,135258,"Diesel","69",1,0,1900,"5",1140
"392",9950,4.083,131364,"Petrol","110",1,0,1600,"5",1075
"393",4450,4.667,129155,"Diesel","69",0,0,1800,"5",1110
"394",9950,4.167,126110,"Petrol","110",0,0,1600,"3",1055
"395",9000,4,119742,"","110",1,0,1600,"5",1080
"396",9950,4.417,117913,"Diesel","69",1,0,1900,"5",1110
"398",10500,4.583,0,"Petrol","110",1,0,1600,"4",1035
"399",10750,4.5,115558,"Petrol","110",1,0,1600,"4",1035
"400",8950,4.417,115113,"Petrol","97",1,0,1400,"3",1025
"401",10500,4.5,115046,"Diesel","69",1,0,1900,"5",1140
"402",5150,4.667,113997,"Diesel","72",1,0,2000,"5",1135
"403",10950,4.083,107859,"Petrol","97",0,0,1400,"5",1060
"405",9950,4.5,103454,"Petrol","110",1,0,1600,"5",1075
"406",10950,4.25,103018,"","69",0,0,1900,"5",1140
"407",11900,3.917,102352,"","110",1,0,1600,"5",1080
"408",9950,4.167,102030,"Petrol","97",1,0,1400,"5",1060
"409",11950,4.5,101352,"Petrol","110",0,0,1600,"5",1080
"410",7900,4.167,99865,"Petrol","110",1,0,1600,"4",1035
"412",8950,4,98100,"","69",1,0,1900,"5",1140
"413",11950,4.25,98040,"Petrol","110",0,0,1600,"5",1080
"414",10900,4.083,97600,"Petrol","110",1,0,1600,"3",1045
"415",9950,4.583,97234,"Petrol","110",0,0,1600,"5",1080
"416",9950,4.25,96135,"Diesel","72",0,0,2000,"3",1115
"417",10950,4.5,96100,"Petrol","110",1,0,1600,"5",1080
"418",8950,4.583,94401,"Diesel","72",0,0,2000,"3",1115
"419",8950,4.583,94122,"Petrol","86",1,0,1300,"3",1015
"420",10500,4.083,91340,"","110",1,0,1600,"3",1055
"421",8950,4.417,90200,"Petrol","97",0,0,1400,"3",1025
"422",9250,4.417,90097,"Diesel","69",1,0,1900,"5",1140
"423",11500,4,89049,"Petrol","97",1,0,1400,"5",1060
"424",9750,4.333,89000,"Petrol","110",0,0,1600,"5",1075
"425",9950,3.75,87274,"Petrol","110",1,0,1600,"3",1040
"426",11450,4.083,86221,"Petrol","110",0,0,1600,"3",1045
"427",12500,4.5,84598,"Petrol","110",0,0,1600,"5",1075
"428",10500,4.167,83567,"Petrol","110",0,0,1600,"5",1075
"429",12950,4.167,83106,"","110",1,0,1600,"5",1075
"430",12200,4.167,82805,"Petrol","110",1,0,1600,"3",1040
"431",10950,4.167,82735,"Petrol","97",1,0,1400,"3",1030
"432",10950,4.5,81905,"Petrol","110",1,0,1600,"5",1105
"433",11290,4.083,80320,"Petrol","110",1,1,1600,"3",1070
"434",10750,4.083,80090,"Petrol","97",1,0,1400,"3",1030
"435",10895,4.417,79800,"Petrol","110",0,0,1600,"5",1075
"436",11500,3.917,78785,"CNG","110",1,0,1600,"5",1119
"437",9750,4,78600,"Petrol","110",1,0,1600,"5",1075
"439",12500,4.083,77648,"Petrol","110",0,0,1600,"4",1030
"440",11950,4.5,77270,"","110",1,0,1600,"4",1035
"441",10750,4.167,76167,"Petrol","97",1,0,1400,"5",1060
"442",11450,3.833,75249,"Petrol","110",1,0,1600,"4",1035
"443",11950,4.5,75231,"Petrol","110",1,0,1600,"5",1080
"444",11750,4,75045,"Petrol","110",1,0,1600,"3",1055
"445",10950,4.167,74849,"Petrol","110",1,1,1600,"4",1060
"446",11950,4.583,74715,"Petrol","110",1,0,1600,"5",1080
"447",10995,4.083,74656,"Diesel","69",0,0,1900,"3",1105
"448",11450,4.667,74500,"Petrol","97",0,0,1400,"3",1025
"449",8900,4.083,74494,"Petrol","110",1,0,1600,"5",1075
"450",10500,4.167,73634,"Petrol","110",0,0,1587,"5",1075
"451",11750,3.917,73403,"Petrol","110",1,0,1600,"5",1075
"452",11450,4.083,73175,"Petrol","97",1,0,1400,"3",1030
"455",9850,4.417,72000,"Petrol","97",1,0,1400,"3",1025
"459",10990,4.417,70239,"Petrol","110",0,0,1600,"3",1040
"460",9500,4.583,69813,"Petrol","97",1,0,1400,"3",1025
"461",11950,4.083,69659,"Petrol","86",0,0,1300,"3",1025
"462",10750,3.833,69574,"Petrol","97",0,0,1400,"5",1065
"463",8750,3.917,69000,"Diesel","69",1,0,1900,"5",1140
"466",9950,3.833,68414,"Petrol","97",0,0,1400,"3",1025
"467",11950,4.667,66777,"Petrol","110",0,0,1600,"5",1090
"468",13950,4.333,66527,"Petrol","110",1,0,1600,"5",1080
"469",11250,4.5,66063,"Petrol","110",1,0,1600,"5",1090
"470",10900,4.167,65471,"Petrol","97",1,0,1400,"5",1060
"471",9750,4.667,65400,"Petrol","97",1,0,1400,"3",1025
"472",9950,4.333,65170,"Petrol","97",1,0,1400,"3",1025
"473",11950,4.667,65000,"Petrol","110",1,0,1600,"5",1075
"475",8950,4.5,64000,"Petrol","97",1,0,1400,"3",1025
"476",10250,4.5,63792,"Petrol","110",1,0,1600,"5",1075
"477",9930,4.417,63635,"Petrol","110",1,0,1600,"4",1035
"478",10500,4.5,63135,"Petrol","110",1,0,1600,"3",1050
"479",11950,4.5,63123,"Petrol","110",1,0,1600,"4",1035
"482",11450,4.5,62987,"Petrol","110",0,0,1600,"5",1080
"483",9900,4.667,62751,"Petrol","110",0,0,1600,"3",1050
"484",9500,4.5,62519,"Petrol","97",0,0,1400,"3",1025
"487",8950,4.5,61000,"Diesel","69",0,0,2000,"5",1140
"488",12000,4.667,61000,"Petrol","110",1,0,1600,"3",1050
